"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Date (Local)","Year","Day In Year (Local)","Units of Measure","Exceptional Data Type","Nonreg Observation Count","Observation Count","Observation Percent","Nonreg Arithmetic Mean","Arithmetic Mean","Nonreg First Maximum Value","First Maximum Value","First Maximum Hour","AQI","Daily Criteria Indicator","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"06","037","1103","68103","1","34.06659","-118.22688","WGS84","Ambient Min Temperature","24 HOUR","","2023-01-01","2023","001","Degrees Centigrade","None","","1","100.0000","","10.1","","10.1","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","42602","3","34.06659","-118.22688","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 1-hour 2010","2023-01-01","2023","001","Parts per billion","None","","24","100.0000","","4.816667","","17.5","6","16","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","62201","1","34.06659","-118.22688","WGS84","Relative Humidity","1 HOUR","","2023-01-01","2023","001","Percent relative humidity","None","","24","100.0000","","69.916667","","100","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","62101","1","34.06659","-118.22688","WGS84","Outdoor Temperature","1 HOUR","","2023-01-01","2023","001","Degrees Fahrenheit","None","","24","100.0000","","55.291667","","60","12",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","42603","1","34.06659","-118.22688","WGS84","Oxides of nitrogen (NOx)","1 HOUR","","2023-01-01","2023","001","Parts per billion","None","","24","100.0000","","5.366667","","26.6","6",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","61102","1","34.06659","-118.22688","WGS84","Wind Direction - Scalar","1 HOUR","","2023-01-01","2023","001","Degrees Compass","None","","24","100.0000","","272.333333","","343","13",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","68106","1","34.06659","-118.22688","WGS84","Sample Min Baro Pressure","24 HOUR","","2023-01-01","2023","001","Millimeters (mercury)","None","","1","100.0000","","745","","745","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","61104","1","34.06659","-118.22688","WGS84","Wind Direction - Resultant","1 HOUR","","2023-01-01","2023","001","Degrees Compass","None","","24","100.0000","","271.083333","","334","23",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","68107","1","34.06659","-118.22688","WGS84","Sample Max Baro Pressure","24 HOUR","","2023-01-01","2023","001","Millimeters (mercury)","None","","1","100.0000","","750","","750","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","68109","1","34.06659","-118.22688","WGS84","Elapsed Sample Time","24 HOUR","","2023-01-01","2023","001","Minutes","None","","1","100.0000","","1439","","1439","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
