Sample ID,Ice Age (year AD),CO2 Age (year AD),CO2 (ppm),Uncert (ppm)
DSSW20K 15.8,firn,1996.28,359.8666666666666,0.015275252316505575
DSSW20K 29,firn,1994.41,357.24,0.0374165738677307
DE08-2 0,firn,1993.08,354.565,0.021213203435577133
DSSW20K 37.8,firn,1992.31,353.885,0.03872983346206585
DE08-2 10,firn,1991.13,352.61,0.18384776310849593
DE08-2 15,firn,1990.54,352.02,0.25
DE08-2 20,firn,1989.97,351.34999999999997,0.0700000000000013
DSSW20K 41.7,firn,1989.41,349.92,0.08366600265340166
DE08-2 30,firn,1988.97,349.76,0.014142135623718088
DE08-2 40,firn,1988.07,347.83,0.4
DE08-2 50,firn,1987.21,346.45,0.03
DE08-2 55,firn,1986.62,345.3425,0.1340087061848209
DE08-2 60,firn,1986.14,344.6,0.0989949493661472
DE08-2 65,firn,1985.76,343.8666666666666,0.04932882862315026
DE08-2 70,firn,1984.92,342.66999999999996,0.15556349186101956
DSSW20K 44.5,firn,1983.08,341.445,0.14011899704654754
DE08-2 75,firn,1983.03,339.575,0.2757716446627439
DE08-2 80,firn,1979.14,335.47,0.0
DE08-2 008,1948.07,1979.07,335.534,0.628
DE08-2 012,1947.94,1978.94,332.358,0.942
DE08-2 003,1945.18,1976.18,331.531,0.628
DE08-2 85,firn,1975.57,332.61,0.04
DE08-2 002,1943,1974.0,328.39,0.942
DE08 331,1941.92,1972.92,330.416,2.121
DE08-2 033,1941.45,1972.45,326.393,1.331
DE08-2 052,1941.18,1972.18,326.53,1.151
DE08-2 005,1940.71,1971.71,324.54,0.628
DE08-2 015,1939.92,1970.92,325.501,0.628
DSSW20K 47,firn,1970.64,325.0025,0.16152915113584476
DE08-2 016,1939.46,1970.46,325.039,0.628
DE08 205,1938.69,1969.69,323.787,0.628
DE08 235,1938.13,1969.13,324.065,0.628
DE08 439,1937.85,1968.85,320.257,1.151
DE08-2 032,1936.93,1967.93,322.26,1.331
DE08-2 051,1936.33,1967.33,320.86,1.151
DE08 440,1936.07,1967.07,320.368,1.727
DE08 226,1934.67,1965.67,319.177,0.942
DE08 225,1934.6,1965.6,319.875,0.628
DE08 339,1932.86,1963.86,319.264,0.928
DE08 203,1932.5,1963.5,318.947,0.628
DE08 214,1931.93,1962.93,319.757,0.628
DE08 432,1931.93,1962.93,317.322,1.727
DE08 215,1931.86,1962.86,317.42,0.942
DE08 212,1931.71,1962.71,319.119,0.628
DE08 213,1931.64,1962.64,317.503,0.628
DE08-2 040,1931.43,1962.43,317.231,6.422
DSS 004,1901.72,1961.72,316.499,0.629
DE08-2 043,1929.92,1960.92,311.871,2.359
DE08 391,1929.71,1960.71,312.981,1.572
DE08 340,1927.9,1958.9,316.473,0.928
DE08 355,1927,1958.0,314.716,0.425
DSS0506 15,1897.8,1957.8,314.206,0.514
DE08 416,1926.2,1957.2,315.144,1.151
DSSW20K 49.5,firn,1957.2,316.4525,0.03774917217637337
DE08 354,1926,1957.0,314.38,0.425
DE08 415,1926,1957.0,314.511,1.151
DSS 001,1896.16,1956.16,314.352,0.629
DSS 002,1896.16,1956.16,315.435,0.629
DSS 003,1896.16,1956.16,315.935,0.629
DE08 464,1924.33,1955.33,314.604,0.513
DE08 465,1924.33,1955.33,313.748,1.024
DE08 297,1924,1955.0,314.884,2.121
DE08 298,1924,1955.0,314.661,2.121
DE08 236,1923.13,1954.13,313.126,0.628
DE08 201,1923.07,1954.07,312.673,0.628
DE08 208,1922.93,1953.93,311.591,0.628
DE08 324,1922.93,1953.93,312.816,2.121
DE08 350,1921.9,1952.9,312.328,0.425
DSS 029,1890.25,1950.25,311.992,0.629
DE08 314,1919,1950.0,313.718,2.121
DE08 351,1917.93,1948.93,309.837,0.425
DE08-2 009,1917.64,1948.64,310.355,0.628
DE08 317,1917.07,1948.07,311.628,2.121
DE08-2 034,1916.64,1947.64,310.965,4.816
DE08-2 035,1916.45,1947.45,310.809,3.211
DE08 304,1916,1947.0,313.27,2.121
DE08 305,1916,1947.0,312.579,2.121
DE08-2 023,1916,1947.0,310.34,2.538
DE08 307,1915.08,1946.08,312.618,2.121
DE08 352,1914.18,1945.18,311.421,0.425
DE08 227,1913.91,1944.91,310.222,0.628
DE08-2 025,1913,1944.0,311.804,2.538
DE08-2 026,1913,1944.0,313.7,2.538
DE08 327,1912.92,1943.92,312.425,2.121
DE08 308,1911.55,1942.55,311.675,2.121
DE08 309,1911.55,1942.55,312.196,3.182
DE08 310,1911.09,1942.09,312.795,2.121
DE08 311,1911.09,1942.09,312.108,2.121
DE08-2 007,1910.33,1941.33,310.943,0.628
DE08 303,1910,1941.0,311.86,2.121
DE08 423,1909.92,1940.92,307.61,1.151
DSS 037,1879.97,1939.97,309.738,0.629
DE08-2 030,1908.64,1939.64,312.023,1.331
DE08 240,1908.36,1939.36,311.021,0.628
DE08 243,1908.36,1939.36,311.375,0.628
DSS0506 08,1879.1,1939.1,306.727,0.77
DE08 302,1908.09,1939.09,312.26,3.219
DE08 422,1908.09,1939.09,308.422,1.151
DE08 473,1907.92,1938.92,307.814,0.698
DSS 027,1878.16,1938.16,308.47,0.629
DE08 300,1907,1938.0,310.716,2.121
DE08 301,1907,1938.0,312.445,2.121
DSSW20K 52,firn,1937.7700000000002,312.40000000000003,0.10000000000000114
DE08 418,1906.08,1937.08,306.927,1.151
DE08 419,1906.08,1937.08,307.631,1.151
DE08 278,1905.15,1936.15,309.491,3.219
DE08 282,1905.15,1936.15,309.129,2.538
DE08 420,1905,1936.0,307.13,1.151
DE08-2 011,1904.36,1935.36,309.623,0.628
DE08 444,1904.2,1935.2,306.193,1.151
DE08 284,1903,1934.0,306.723,2.538
DE08 285,1903,1934.0,306.595,2.538
DE08 287,1903,1934.0,307.801,2.538
DE08 443,1902.23,1933.23,305.817,1.151
DE08 325,1902,1933.0,308.341,2.121
DE08 238,1901.7,1932.7,308.241,0.628
DE08 437,1900.15,1931.15,305.59,1.727
DE08 438,1900.15,1931.15,305.636,1.151
DE08 341,1898.06,1929.06,305.843,0.928
DSS 041,1868.74,1928.74,305.713,0.629
DE08 274,1897.33,1928.33,307.591,3.219
DE08 275,1897.33,1928.33,308.391,3.219
DSS 008,1868.16,1928.16,305.654,0.629
DE08 474,1895.11,1926.11,305.506,0.582
DE08 475,1895.11,1926.11,306.673,0.873
DE08-2 044,1895,1926.0,303.736,4.816
DE08 476,1894.9,1925.9,303.55,1.164
DE08 482,1894.7,1925.7,302.234,0.582
DE08 231,1894.2,1925.2,305.307,0.628
DE08 237,1894.2,1925.2,304.604,0.628
DE08 269,1892.13,1923.13,307.673,3.219
DE08 270,1892.13,1923.13,306.106,3.219
DE08 271,1892.13,1923.13,303.05,2.538
DE08 272,1892.13,1923.13,307.798,6.437
DE08 342,1891.87,1922.87,303.318,0.928
DE08 430,1889.09,1920.09,301.746,1.151
